Date,DepartmentId,JobCategoryId,RequiredWorkedHoursValue,ActualWorkedHoursValue
2026-01-20,60,2,39.68,39.75
2027-07-29,35,6,89.20,82.50
2027-02-24,58,4,21.75,18.25
2026-08-19,40,6,87.04,106.25
2026-10-19,52,4,29.37,35.50
2027-08-07,48,2,78.07,80.75
2027-04-14,45,4,36.79,34.75
2027-08-30,51,3,91.02,102.00
2026-10-16,35,3,49.59,47.75
2026-11-20,52,3,63.56,67.00
2026-07-12,39,3,81.90,100.50
2026-02-15,130,6,85.99,75.75
2026-10-10,49,2,48.55,62.25
2027-02-15,55,2,39.59,47.25
2026-11-29,61,2,93.65,97.00
2026-09-19,42,6,30.84,27.50
2026-05-30,49,3,95.43,94.50
2027-06-28,43,7,15.64,15.00
2026-02-14,53,4,17.28,22.00
2026-02-14,47,7,37.48,36.00
2026-05-05,61,7,58.67,53.25
2026-09-22,54,1,232.21,258.00
2027-04-14,130,4,36.01,41.25
2027-09-02,50,6,125.40,148.00
2027-02-11,130,1,105.70,90.00
2027-02-28,55,6,153.42,193.25
2026-08-18,36,3,27.34,25.00
2026-12-20,41,4,11.46,13.50
2027-05-30,41,2,25.38,23.75
2026-09-23,57,6,72.22,77.75
2027-05-28,52,3,87.32,95.25
2026-10-29,59,2,33.57,40.50
2026-11-19,36,6,43.12,36.25
2027-09-04,45,2,73.60,84.75
2026-08-31,38,3,69.94,84.00
2026-08-15,43,4,8.98,10.00
2026-05-13,38,7,11.52,10.00
2026-04-16,51,7,34.98,30.00
2027-07-20,60,7,21.22,25.00
2026-12-24,48,7,13.94,16.50
2026-02-23,40,4,18.77,23.00
2026-01-08,38,6,158.30,200.50
2027-02-08,45,7,34.55,28.50
2026-06-18,51,6,122.77,153.50
2027-03-30,50,4,25.33,21.00
2026-02-20,130,2,61.83,59.75
2027-03-24,52,6,119.56,138.75
2026-05-01,36,2,94.19,90.50
2026-07-15,40,6,103.22,93.50
2026-02-08,46,3,37.12,33.25
2027-02-15,130,1,176.90,174.25
2027-08-29,35,6,114.91,145.50
2026-11-16,37,3,107.47,100.00
2026-09-18,35,4,46.76,52.75
2027-03-27,54,7,20.77,24.00
2026-11-25,46,2,94.27,80.00
2027-03-05,55,2,63.45,74.00
2026-08-06,40,2,25.70,24.75
2026-11-10,51,2,45.78,54.25
2026-07-15,46,3,83.68,100.25
2026-07-24,55,2,38.03,36.00
2026-03-26,55,3,96.64,95.50
2026-04-10,44,6,107.61,110.50
2027-01-07,35,7,41.22,35.25
2027-09-08,60,2,92.61,79.25
2027-02-25,50,6,71.98,72.00
2026-10-31,58,5,138.61,148.75
2027-02-01,49,5,97.13,88.00
2027-07-09,47,5,78.30,65.00
2027-06-17,60,1,106.41,93.75
2026-08-13,36,4,8.22,8.25
2027-03-04,50,5,119.80,135.75
2026-12-06,46,1,87.87,83.75
2027-06-12,60,5,34.38,34.25
2026-09-24,61,1,100.62,108.00
2026-06-19,46,7,23.32,24.25
2026-03-18,51,1,97.63,122.00
2026-09-30,41,5,88.97,75.25
2027-03-25,47,7,50.99,61.00
2026-12-06,45,1,156.64,161.50
2026-08-04,38,1,93.31,113.75
2026-05-28,47,7,26.52,28.50
2026-04-14,50,4,43.10,44.50
2026-01-07,49,5,131.35,151.50
2027-07-14,37,7,39.69,42.75
2026-12-04,50,5,45.60,48.75
2027-06-30,130,3,20.14,17.50
2026-11-05,55,4,12.83,11.50
2026-05-16,43,6,135.18,133.25
2027-05-30,54,6,92.87,76.50
2027-01-05,130,5,74.20,91.00
2027-03-16,49,2,80.99,78.75
2026-03-15,55,6,109.61,93.00
2027-05-10,39,1,152.60,127.75
2026-07-26,39,5,118.94,109.50
2027-05-17,43,1,254.16,277.00
2026-06-10,42,5,89.21,81.50
2026-07-01,46,1,211.92,179.25
2026-07-13,39,1,106.00,107.25
2026-05-29,49,5,69.10,65.75
2027-02-06,38,7,46.80,40.75
2026-01-12,49,1,250.45,223.00
2027-08-13,48,5,52.51,44.50
2026-04-21,44,5,75.51,84.00
2027-05-14,53,3,112.42,99.75
2026-09-17,41,1,98.68,111.75
2026-08-30,56,5,100.64,103.25
2026-06-26,46,5,33.44,27.50
2026-09-23,37,5,66.26,59.25
2026-12-01,46,5,110.26,91.50
2027-02-18,36,4,8.95,7.50
2027-01-22,49,4,23.60,20.25
2026-12-05,60,5,70.53,61.50
2026-02-19,39,5,120.18,132.50
2027-04-25,48,7,13.44,15.50
2026-12-19,40,6,108.74,117.25
2026-01-19,45,0,169.85,146.25
2027-05-18,61,6,67.71,66.00
2027-05-30,59,3,33.36,27.50
2026-06-13,39,6,76.35,70.25
2027-05-02,59,4,27.76,33.00
2027-07-14,43,4,8.73,11.00
2026-12-26,60,6,107.18,97.25
2026-11-22,53,6,117.24,142.75
2026-01-13,57,3,88.24,79.75
2026-09-30,57,5,94.23,99.75
2026-01-09,49,7,49.70,52.25
2026-11-08,49,1,186.70,170.75
2027-05-17,59,1,161.25,198.00
2026-05-19,61,7,30.96,32.75
2026-02-08,59,5,40.52,48.50
2027-04-11,56,5,48.80,44.50
2027-03-07,39,5,49.83,44.50
2026-06-25,36,5,36.18,32.25
2027-05-23,39,5,46.81,47.50
2026-11-21,39,7,56.15,60.25
2026-12-13,60,2,53.04,66.75
2027-03-29,50,6,91.83,78.50
2026-11-18,45,3,116.07,123.25
2026-10-18,58,3,47.47,44.75
2026-04-11,44,4,14.30,13.00
2026-01-22,45,3,80.53,86.00
2027-04-25,39,4,32.93,37.25
2026-01-22,39,6,106.70,94.50
2026-06-06,50,2,41.95,40.50
2027-02-28,42,2,28.73,35.75
2026-06-15,39,4,30.96,25.50
2027-03-29,55,3,80.13,85.00
2027-09-05,43,2,97.16,106.50
2026-11-18,57,4,41.70,36.50
2026-06-03,46,2,74.17,63.25
2026-11-22,59,3,114.26,130.75
2027-01-28,57,2,90.36,102.25
2026-03-20,39,0,389.33,356.00
2026-05-06,49,2,92.81,85.25
2026-05-15,51,4,38.13,46.75
2026-02-26,130,5,118.43,105.75
2026-06-29,52,3,41.85,44.25
2027-06-13,42,4,28.83,25.25
2027-08-05,42,2,27.51,23.00
2027-08-27,40,7,18.03,20.00
2026-07-30,53,3,70.08,67.75
2027-06-30,51,7,28.25,25.00
2026-02-09,46,1,218.92,225.75
2026-11-03,49,5,77.46,93.75
2027-07-18,51,7,59.74,55.75
2027-05-30,44,3,72.49,74.00
2027-05-30,53,6,154.54,172.75
2026-01-09,55,4,39.28,41.25
2026-08-30,50,6,92.15,97.00
2026-02-13,60,3,46.89,40.25
2027-08-12,130,2,90.57,87.75
2026-11-21,61,4,40.92,51.75
2026-08-17,48,6,62.65,55.25
2026-09-02,130,3,96.20,109.25
2026-03-31,46,6,140.17,165.50
2026-02-22,52,0,178.06,151.75
2026-06-19,130,7,44.16,46.00
2027-06-30,57,4,23.81,25.25
2026-03-14,47,4,42.00,51.75
2026-10-21,54,7,34.12,33.75
2027-05-17,53,2,42.44,37.50
2026-12-10,60,1,220.47,268.50
2026-09-17,57,1,180.66,193.00
2027-05-02,53,7,53.75,44.75
2027-09-13,49,5,94.81,113.50
2027-03-29,49,6,73.57,67.50
2027-05-27,47,6,118.48,129.75
2026-01-13,51,6,79.62,67.00
2026-03-27,49,4,38.14,41.00
2026-07-30,53,5,90.92,75.25
2027-02-13,58,7,45.54,52.50
2026-07-18,61,5,58.60,52.25
2027-05-27,53,5,79.73,75.25
2027-08-19,58,1,224.79,220.50
2026-11-21,55,7,56.51,58.75
2026-05-28,53,4,29.75,31.00
2026-01-31,38,2,93.49,84.50
2027-01-28,41,2,67.80,83.25
2027-08-15,42,3,98.96,90.00
2027-08-31,49,3,66.57,56.75
2027-09-09,43,2,98.56,87.00
2026-03-31,52,3,84.10,76.75
2027-08-09,56,2,85.29,85.25
2026-01-10,46,6,57.60,61.75
2026-01-26,59,3,23.16,23.50
2026-05-28,35,6,109.64,109.00
2026-12-19,46,3,72.09,72.25
2027-03-13,43,6,141.67,173.75
2026-02-12,130,4,29.71,38.00
2026-06-16,50,3,84.15,70.75
2026-11-23,39,2,63.96,71.00
2026-08-13,40,3,29.08,34.00
2026-12-23,130,3,78.31,65.75
2026-05-15,35,2,83.22,69.75
2027-08-31,48,3,90.35,99.00
2026-09-10,36,3,34.12,43.25
2027-08-31,60,4,42.84,40.00
2026-02-18,38,0,397.42,342.25
2027-02-09,44,7,39.38,38.75
2026-01-05,40,4,46.26,38.50
2027-07-06,42,5,76.17,77.50
2026-08-20,56,4,28.53,29.75
2026-10-14,40,4,40.13,50.50
2027-05-05,39,5,127.08,131.50
2027-05-30,38,6,144.46,143.25
2026-09-04,45,7,38.06,33.75
2026-08-16,40,4,11.52,11.25
2026-10-31,42,5,68.26,62.50
2026-01-16,53,7,47.99,48.75
2027-08-28,44,3,33.75,28.75
2026-03-24,47,5,107.92,120.00
2026-11-21,51,1,195.41,177.50
2026-08-07,38,2,45.86,44.25
2027-09-09,57,2,71.38,61.50
2026-04-28,58,6,95.37,78.25
2026-09-02,39,6,97.47,124.75
2026-11-17,35,1,89.21,82.50
2026-11-30,35,5,85.83,104.75
2027-04-22,38,3,95.91,88.50
2026-01-27,39,2,49.60,48.50
2027-06-26,43,4,9.97,10.50
2026-10-27,52,2,24.85,28.75
2027-07-11,37,4,38.62,41.25
2026-12-23,54,6,151.69,163.75
2027-08-15,54,4,20.35,22.50
2026-11-05,39,2,32.11,39.00
2027-01-12,37,2,52.15,64.25
2026-11-18,39,6,61.87,73.25
2026-02-13,54,6,136.42,121.25
2027-05-27,55,3,27.85,31.75
2027-08-28,42,5,72.72,92.25
2027-06-26,37,7,59.64,51.00
2027-01-13,58,7,63.95,63.00
2026-06-12,42,7,48.92,51.25
2027-01-22,44,7,9.74,11.00
2026-07-20,47,7,61.24,77.50
2027-04-28,39,7,13.47,13.00
2027-02-26,54,1,230.32,247.50
2027-05-05,130,2,36.84,37.50
2026-03-21,43,3,116.40,96.75
2026-05-16,61,4,34.10,37.25
2026-05-28,41,3,75.57,86.00
2026-02-06,39,3,104.22,107.75
2027-07-22,130,3,80.14,66.25
2026-11-12,35,5,78.71,84.00
2027-02-22,38,3,47.11,39.00
2026-04-24,56,2,68.84,81.25
2027-02-01,56,2,33.13,41.75
2026-03-02,130,1,159.74,186.50
2027-06-30,39,6,54.20,61.50
2027-03-07,41,5,99.15,97.50
2026-01-14,61,6,69.19,86.25
2026-01-22,51,0,212.47,254.25
2027-07-31,42,6,159.35,139.75
2026-11-21,46,4,17.49,14.75
2027-09-09,35,5,133.20,141.75
2026-01-09,39,4,40.79,49.00
2026-08-08,58,7,39.48,48.50
2026-02-13,56,4,26.50,24.25
2027-02-22,50,4,9.79,9.50
2026-05-12,41,7,60.20,54.25
2026-04-23,36,4,46.28,43.00
2026-11-21,40,7,63.27,52.25
2027-04-16,53,4,24.58,20.50
2027-05-14,59,7,31.56,27.75
2026-12-25,47,7,58.41,73.25
2027-07-30,50,4,18.79,17.00
2026-04-08,43,3,53.53,64.50
2026-02-06,45,0,122.32,122.00
2027-02-06,44,4,43.66,39.75
2026-03-11,43,4,25.25,22.50
2027-08-15,36,6,126.43,124.25
2026-07-21,61,6,84.70,71.75
2026-03-28,57,6,50.22,50.25
2027-02-23,42,6,107.10,131.00
2026-01-09,37,6,103.90,94.00
2027-08-18,60,4,13.16,12.50
2026-03-11,58,4,19.99,17.25
2026-04-02,57,2,66.33,62.75
2026-05-12,35,3,26.35,28.25
2027-03-04,35,5,108.28,134.75
2026-07-16,55,4,23.85,24.50
2026-06-01,50,6,30.23,25.75
2026-08-20,130,1,96.74,118.25
2027-03-13,61,4,39.17,40.25
2027-04-03,50,2,25.62,21.25
2027-02-13,48,2,84.70,91.50
2026-12-30,39,5,45.56,54.00
2026-06-05,59,1,81.80,85.00
2026-09-15,40,7,22.07,27.00
2026-08-15,48,1,227.57,192.25
2027-01-06,44,5,68.43,73.75
2026-09-22,53,1,122.41,144.25
2026-09-16,58,5,129.85,121.50
2027-06-10,37,5,77.56,79.00
2027-05-16,60,1,176.72,186.75
2027-08-16,41,1,159.50,157.00
2027-03-21,53,5,30.48,32.25
2026-11-20,53,3,58.83,64.25
2027-03-02,56,1,177.04,175.50
2027-02-25,56,5,119.69,147.75
2026-03-11,60,5,108.83,128.75
2027-04-09,50,5,31.69,30.25
2026-11-07,52,1,248.10,219.25
2027-06-26,57,5,81.90,96.75
2026-08-18,53,1,236.04,277.25
2026-02-24,53,5,71.59,59.00
2026-11-20,52,5,88.85,78.75
2027-04-11,43,1,206.59,256.00
2026-08-06,46,1,115.54,100.25
2026-03-13,55,1,258.86,266.25
2027-09-13,38,1,197.96,215.00
2027-05-10,50,5,129.93,119.75
2026-06-05,57,1,172.83,192.00
2026-06-02,57,7,26.17,23.50
2027-03-27,55,7,50.52,46.50
2027-06-13,50,6,144.03,130.75
2027-03-27,59,4,18.53,16.75
2026-01-20,37,3,40.21,46.25
2027-01-06,60,3,51.99,49.25
2026-11-10,130,7,20.52,24.75
2026-06-03,57,6,54.00,59.75
2027-03-20,41,4,31.66,33.50
2026-12-21,38,3,20.08,20.50
2027-02-04,37,4,8.07,9.25
2026-10-25,45,2,74.04,80.25
2027-02-17,42,3,31.13,28.75
2026-10-20,49,3,72.57,76.75
2026-02-01,51,2,53.01,55.50
2027-05-29,60,5,56.27,61.00
2026-11-17,45,5,40.50,37.75
2026-05-17,47,1,165.63,151.75
2026-08-13,53,5,73.21,85.75
2026-06-15,52,5,61.43,57.75
2026-06-24,39,5,109.37,97.25
2027-06-15,37,1,186.36,186.25
2026-12-06,57,5,111.52,108.00
2027-06-28,53,3,82.06,70.25
2026-05-14,42,1,125.35,132.75
2026-11-23,47,7,48.85,48.25
2027-08-23,46,5,105.97,131.50
2027-07-28,36,7,23.14,28.00
2027-04-24,45,5,39.59,40.75
2027-04-11,45,1,186.19,216.50
2026-11-07,50,1,117.13,100.25
2027-01-30,41,5,67.33,59.25
2026-10-17,60,5,135.95,111.50
2026-07-06,59,1,175.23,170.50
2026-12-08,42,7,43.39,43.75
2027-03-27,48,1,239.71,247.75
2026-06-17,130,4,11.55,12.25
2026-01-24,52,3,93.53,106.75
2026-11-20,45,6,110.67,129.25
2027-08-01,39,6,106.20,104.50
2026-01-02,59,2,25.94,24.50
2027-03-01,41,2,30.15,37.75
2026-05-01,35,2,73.30,67.25
2026-07-15,39,6,112.33,141.00
2027-04-07,35,7,29.92,31.75
2026-01-08,130,3,82.19,68.25
2026-10-10,50,2,66.05,80.00
2026-08-06,56,2,55.19,48.00
2027-06-06,130,2,55.50,49.25
2027-05-22,50,2,63.04,57.00
2026-08-19,130,3,24.39,30.25
2026-11-05,50,6,63.03,56.25
2027-04-26,36,4,27.52,30.00
2027-06-06,37,5,78.98,85.00
2026-02-07,38,1,138.25,172.25
2026-10-20,55,7,35.58,30.00
2027-01-06,59,5,123.04,153.25
2026-04-26,40,5,41.88,40.75
2026-07-31,51,5,113.34,124.25
2026-01-07,36,1,105.23,117.75
2027-02-20,36,7,28.31,28.50
2026-11-02,50,5,48.74,54.25
2027-03-11,58,1,233.64,196.75
2026-01-26,46,1,233.03,192.00
2027-07-11,39,5,130.62,111.25
2026-09-18,45,7,51.39,44.75
2027-08-13,35,3,83.62,72.75
2027-07-17,42,6,94.28,119.75
2026-12-09,55,6,80.12,85.75
2027-03-31,56,6,101.44,108.00
2026-10-16,35,1,126.73,139.25
2027-06-12,43,4,36.52,39.25
2026-08-02,41,2,89.62,82.00
2026-01-12,60,3,31.51,31.25
2026-02-11,46,6,159.41,137.00
2026-02-20,45,0,142.26,168.75
2027-04-24,46,3,84.43,93.50
2027-03-27,49,3,58.26,57.00
2026-03-13,48,6,145.49,120.00
2027-03-23,35,1,246.12,239.75
2026-12-11,37,2,56.27,57.25
2027-01-20,42,4,24.85,25.75
2027-01-28,60,3,47.69,44.50
2026-03-12,41,4,19.07,24.50
2026-05-18,57,1,180.29,219.75
2027-06-10,52,5,49.91,52.00
2026-01-25,61,5,112.77,100.50
2027-08-30,51,5,139.86,173.00
2026-02-02,38,5,115.75,101.00
2026-06-29,39,1,151.83,180.00
2026-02-11,53,1,226.04,244.75
2027-06-28,54,1,258.17,323.50
2026-05-12,47,5,120.06,113.50
2027-04-05,58,2,35.34,37.75
2027-07-02,130,6,89.59,75.00
2027-02-24,59,4,13.08,13.75
2026-10-29,35,5,77.03,63.50
2026-12-02,37,6,148.19,131.00
2027-04-24,44,3,107.61,118.75
2026-06-18,58,3,26.28,30.00
2027-02-21,36,6,86.19,104.00
2026-10-23,48,6,155.70,132.25
2026-07-30,39,4,35.69,33.25
2026-06-18,60,3,58.93,50.75
2027-02-08,52,4,19.24,21.00
2027-08-23,56,2,81.74,101.50
2026-08-21,51,2,66.86,59.50
2026-11-23,50,6,127.51,152.50
2026-01-21,46,5,81.71,86.25
2026-03-13,45,7,41.97,39.50
2026-06-15,53,3,66.47,56.00
2027-09-02,49,6,101.03,96.25
2026-11-03,42,7,62.07,55.25
2026-09-22,58,7,62.86,56.25
2027-07-20,54,1,236.30,272.50
2026-11-19,38,4,15.57,15.50
2026-12-20,40,4,38.72,45.00
2027-08-04,44,2,76.99,70.75
2026-04-13,47,7,28.12,34.25
2027-01-27,56,7,27.55,32.75
2026-09-13,38,5,56.81,61.50
2027-02-08,56,1,93.58,111.25
2026-08-15,38,7,17.59,21.75
2026-07-28,41,6,135.94,127.50
2027-02-12,49,6,60.93,54.25
2026-05-27,42,5,66.25,66.25
2027-05-03,53,2,74.48,77.25
2026-12-08,52,1,214.84,213.75
2027-08-04,49,1,181.49,194.00
2027-07-01,49,7,60.50,51.25
2026-08-02,36,7,46.79,44.25
2027-03-14,53,7,63.91,78.25
2026-02-24,60,0,155.85,172.50
2026-11-29,60,2,43.19,45.25
2027-07-04,42,2,25.27,31.50
2026-03-13,60,0,335.05,353.25
2026-07-15,42,4,9.23,9.50
2026-04-26,35,6,82.01,97.50
2026-07-11,42,4,41.79,43.50
2026-05-21,55,6,87.56,74.50
2027-01-30,49,2,97.24,105.00
2026-02-17,40,0,267.41,327.00
2027-05-29,61,3,106.95,98.50
2027-03-14,43,2,84.88,91.00
2026-11-10,35,2,54.89,63.25
2026-12-12,130,6,47.85,61.00
2027-03-27,41,6,49.43,50.75
2027-09-02,57,3,65.38,62.25
2027-07-13,45,4,21.06,17.25
2026-05-27,43,3,21.31,18.25
2027-02-11,41,2,82.36,85.50
2027-07-29,46,7,40.66,47.00
2026-06-17,39,7,8.78,7.25
2026-09-14,36,4,26.62,30.25
2026-08-31,49,4,8.75,8.25
2027-01-23,41,7,45.36,53.50
2026-08-06,61,1,243.81,305.50
2027-03-24,38,6,153.04,163.00
2026-06-14,40,4,11.94,10.00
2027-05-15,42,7,19.90,20.50
2027-09-13,43,7,34.25,28.75
2027-01-21,49,6,155.37,133.75
2027-05-28,36,3,111.17,99.75
2027-04-14,61,4,17.35,16.75
2026-02-02,61,2,20.51,18.25
2026-10-19,51,4,40.53,35.00
2026-02-24,54,3,59.21,58.00
2026-11-11,60,2,29.33,28.75
2026-05-14,55,4,37.89,40.75
2026-12-11,52,2,25.81,21.75
2027-07-07,47,2,38.20,36.75
2027-04-30,130,7,26.49,23.25
2027-01-17,40,3,73.33,60.50
2026-04-07,55,2,27.71,33.50
2026-05-05,50,2,59.26,72.25
2027-09-05,130,3,72.04,74.75
2026-06-27,39,6,131.52,127.25
2026-05-15,45,6,84.96,74.00
2026-05-18,52,6,88.50,80.75
2026-04-14,60,6,66.04,74.00
2026-03-19,35,5,108.38,93.25
2027-08-11,41,5,53.58,60.50
2026-03-14,58,6,133.52,117.25
2026-07-19,54,6,129.64,138.25
2026-08-06,57,4,44.99,47.25
2026-05-17,58,4,32.60,29.25
2026-05-05,130,7,55.00,60.50
2026-01-26,38,7,19.63,16.75
2026-04-13,45,7,42.20,50.25
2027-02-24,51,7,26.60,22.25
2026-01-29,41,7,45.26,54.25
2026-01-27,51,6,43.35,36.75
2027-08-20,46,7,22.60,23.75
2026-05-10,40,4,10.82,9.50
2026-11-07,57,7,15.20,16.75
2027-08-16,36,2,28.09,35.50
2027-05-12,58,4,10.41,9.25
2026-11-24,60,6,57.37,61.25
2026-03-19,58,2,50.08,61.00
2027-08-01,57,4,9.22,8.50
2027-05-12,40,6,57.59,52.25
2026-07-28,47,3,38.34,46.75
2027-07-26,50,3,67.66,60.75
2026-10-22,35,7,40.22,40.25
2027-01-24,130,3,57.05,56.00
2026-06-28,54,5,55.09,60.00
2026-01-08,39,6,80.13,86.00
2026-10-03,46,4,31.48,30.25
2027-08-17,50,3,96.95,106.25
2026-06-05,52,2,98.14,102.75
2026-02-04,38,0,328.68,274.00
2027-04-30,51,4,17.21,16.25
2027-01-09,57,6,68.26,65.75
2027-09-05,56,6,121.07,153.50
2026-05-30,54,7,12.42,10.75
2027-05-16,55,6,95.32,94.50
2026-10-05,54,3,30.73,29.25
2026-04-09,36,4,36.83,31.00
2026-01-07,41,7,60.77,77.50
2026-05-14,53,4,25.52,25.50
2026-12-24,49,7,54.10,52.25
2026-12-11,47,7,32.84,31.75
2026-04-16,50,7,10.79,9.50
2026-10-16,48,4,33.75,30.75
2027-06-15,48,4,17.34,16.50
2027-07-02,47,6,106.17,130.50
2026-05-26,39,7,14.48,13.75
2026-01-07,47,4,46.89,52.50
2026-06-21,54,7,36.40,35.75
2026-08-28,56,2,84.09,71.75
